source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1789,"HABIBI 😘 go check my sexy friend wick has an amazing 🔞🔞UNCERSORED CONTENT 🔞🔞 , and beside being really sexy she has her ONLY FANS AT AN ENORMEOUS DISCOUNT(FREE) FOR NEWCOMERS and everyone who want to follow her😈😘if you do that i will send you my first CLOSE UP NAKED AND UNCENSORED VIDEO of me 💦🥵🥵here is her link to get your free months https://onlyfans.com/ 😘",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1809,Subscribe to this SEXY baby girl 🔥🥵i think she is the hottest girl i know she has her onlyfans free for you with this link https://onlyfans.com/ Don't miss this chance her content is amazing🥰🥵🔥,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1838,"bby i want you to go subscribe to this SEXY ASS FRENCH GIRL 😈🙈she just made her OF so go easy on her but i know you will get to love her how you do me , just follow this link and you will get FREE SUBSCRITION [enter link here] , do it fast because it's up ONLY FOR 24H 😈🙈",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1848,[enter link here] Download my new song on spotify or apple music for a free naked twerk video RIGHT NOW 👀 Send screenshot proof 🔥,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1850,"hey love , go follow this beautiful girl 😈🔥she is one hell of a girl 😻🥵😈even more she made her OF FREE so you can check to see what she has to offer but i really think you will love her 😘😘https://onlyfans.com[enter link here] with this link you get 3 moths free trial🙈🙈😏🎁",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,1876,habibi If u love me drop type 3 comments on my new youtube video And show me u did it for a surprise pic 👀🤝😍 [enter YouTube link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2263,[enter YouTube link here] Drop a comment & message me a screenshot for new nudes of me 👅👅👅👅👀👀👀👀👀👀 LETS GOOO,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2285,[enter YouTube link here] ^^ comment 5x for full pic 😈,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2307,just in case you missed it! Just launched my brand new ***VIP PROGRAM***!! [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2644,### SHE JUST LOST HER VIRGINITY🐣 ✨ ✨ **JUST TURNED 20** 🔞 and finally **LOST HER VIRGINITY** 😈 her **TIGHT LITTLE PUSSY**🐱 got fucked so hard that she was dripping afterward 😳 **MADE HER ONLYFANS FREE FOR 24 HOURS FOR MY SUBS!!** 😉 DM her a “❤️” when you subscribe and ***SHE WILL SEND YOU THE SEXTAPE FOR FREE***👅👇🏼 https://onlyfans.com/ /c9,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2711,[enter link here] unlock this post and I'll send you my private snapchat account 👅,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2718,[enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2735,💕Freshman in College💕 😈 🔥Just graduated highschool🔥 Custom Content for your pleasure❤️ 📲Play with HER 📲. [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2742,gave me a little treat to share with you[enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,2793,[enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,3208,### SHE JUST LOST HER VIRGINITY🐣 ✨ ✨ **JUST TURNED 20** 🔞 and finally **LOST HER VIRGINITY** 😈 her **TIGHT LITTLE PUSSY**🐱 got fucked so hard that she was dripping afterward 😳 **MADE HER ONLYFANS FREE FOR 24 HOURS FOR MY SUBS!!** 😉 DM her a “❤️” when you subscribe and ***SHE WILL SEND YOU THE SEXTAPE***👅👇🏼 https://onlyfans.com/ /c3,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,3211,"💞 💞 has the **FATTEST NATURAL ASS** 🍑 and LOVES **BOUNCING IT ON DICK UNTIL ITS FILLED WITH CUM** 💦 she **JUST GOT BROKEN UP WITH** 😩 and is wanting to be a **slutt** 🤭 I told her to ***MAKE HER OF FREE FOR 24 HOURS*** 🥰 so that you guys can cheer her up 😉 she is sending a **FREE NUDE ASS PIC BUNDLE** to EVERYONE who DMs her a “😈”…. Don’t miss out daddy, I know you will like it 👅 **FREE LINK** 👇🏼 😈 [enter link here] 😈",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,3217,COLLEGE SLUTT ✨ ✨ loves getting **FUCKED LIKE A PORNSTAR** 😈 ever since she just **LOST HER VIRGINITY** 🤤 she loves dick so much 🍆💦 that she ***MADE HER PAGE FREE FOR 24 HOURS*** and is **SENDING A FREE CUSTOM DICK RATING** to everyone who DMs her a **DICK PIC**😍 show her how hard your *throbbing cock* gets 🤭 👇🏼 **FREE LINK**👇🏼 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4386,friend Shocking everyone with the bold content being posted! Managed to snag a free trial for you so you can see it all for yourself. [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4454,Finally started her OnlyFans! Free access to the page is only today send a message and for a special treat 😁 [enter link here],0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4555,I have a FREE GIFT 🎁 for you if you unlock my last post from today daddy! 👇 https://onlyfans.com/,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4561,I pinned my NEW video to the top of my wall! unlock it for a freebie babe! 🎁😈 https://onlyfans.com/,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4563,unlock my last post for a freebie babe! 💝💕 https://onlyfans.com/,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4567,make my day and unlock the bundle pinned to the top of my wall and I'll give you a freebie! 🎁 👇 https://onlyfans.com/,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,4758,[enter link here] ❤️,0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5631,"Hey babe, I hope you didnt miss this 🫦👇🏻 [enter link here]",0.0,Link drop,True,False,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,5638,"Hey babe, lemme show u some love 💕 don't miss this 👇🏻💋 [enter link here]",0.0,Link drop,True,False,False
