source_file,row_id,caption_original,price,category,has_link,contains_renew,mentions_tip
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,404,🥰.thank you for being here and supporting me every month 🥰 here's 2 videos for my RENEW / REBILL gift this month ❤️ 1- BJ / titty fuck / rimjob 2- shower fun i appreciate you 😘,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,415,the pictures are just for you to focus on my message 😜 ***i'm sending 2 FREE videos to everyone who has their REBILL / RENEW turned ON*** the videos will be sent next TUESDAY the 10th ❤️ - one of those FREE videos will be an EXCLUSIVE SEX VIDEO (BG) 🍆💦,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,435,1.***Dont forget to turn on your AUTO RENEW for a free video at the end of the month*** ❤️ 2. **New Trukait & JMac video release Nov 30** 🩷 3. ***Special : Tip 5$ for ANY SOLO*** (previews are on my wall)💙 https://onlyfans.com/ /3533537,0.0,Renew campaign captions,True,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,438,"**Just like that, keep going**. .that rock hard cock of yours that you have been stroking for me.. I want you to empty your balls for me. Yes!! Drain ur balls all over my ass..Look at all that fucking cum!! Now turn ***on*** your ***auto renew*** before you keep missing out on all my steamy content 😘",0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,440,🚨 make sure to have your REBILL / RENEW turned ON 🚨 i will be sending a free exclusive video (or 2) this WEEK-END to everyone who has their REBILL / RENEW turned ON,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,458,good morning 😍 that's me waking up next to u ;) I just wanted to let u know that i'm sending 1 or 2 EXCLUSIVE ***FREE VIDEOS*** this Friday to everyone who has their ***REBILL / RENEW*** button turned ON 🥳 so make sure you turn it ON now so that you dont forget ❤️,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,480,I’m sending a FREE EXCLUSIVE video (or 2) to everyone who has their ***REBILL / RENEW*** button turned ON I’ll send this weekend so make sure you have TURNED ON before that ❤️ you don’t wanna miss it,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,482,here's 2 free videos to thank you for having your ***REBILL / RENEW turned ON*** 1st one is called : South Beach sex scene cuz it was shot on Collins Avenue right on South Beach lol ...and the 2nd one is just me being a cum dumspter lol,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,487,🎁 its the ***REBILL / RENEW*** time of the month 🎁 so make sure you have your ***RENEW / REBILL turned ON*** because on TUESDAY... i will be sending a free exclusive video (or 2 😜) to everyone who has it ON have a great weekend ❤️ oh and that's just me in a white dress and a dildo in the pool 👅,0.0,Renew campaign captions,False,True,False
ALLTIME_MASS_MESSAGE_STATS - MASS.MESSAGE.STATS(has data for inactive girls).csv,497,🎉 Its REBILL / RENEW time 🎉 ***Make sure your REBILL / RENEW button is turned ON*** I will send everyone who has it turned ON a free exclusive video (or 2) this Sunday (the 23rd) ❤️❤️❤️,0.0,Renew campaign captions,False,True,False
